alpha,beta,gamma,delta
-0.2742626033791298,-0.1994940254140632,7.227267915378307,7.536357690799677
-0.25988623348610906,-0.21959283027717055,7.815822498157989,7.396226885639879
-0.240314753705922,-0.28436689614881633,7.829356876646777,7.600201845389093
-0.2453532680286641,-0.2510255616495033,7.683028848250104,7.872441073489087
-0.2487330104746968,-0.2723050759722327,7.944360903696032,7.332383115673864
-0.2751395844720692,-0.24546646619429677,8.094986052070057,7.829682725842693
-0.2551404589095263,-0.23263066514962566,7.397285594898785,7.605784391189373
-0.26394229085972964,-0.2682604832679826,7.8207477067409545,7.632732755413964
-0.2270764044526977,-0.2886665306088215,8.229582709713325,7.08518210902215
-0.24889512536179534,-0.2541862769600813,6.729714395695884,8.465619224305984
-0.2534550439464243,-0.23536319422122226,6.774947000521656,8.160743026165925
-0.2553544561551872,-0.23493885221697577,6.710427864006126,8.073190929674295
-0.23547175871433768,-0.26326181792743614,7.921830468439776,7.258025384955361
-0.2492851236506261,-0.21579461425062335,7.69327059877593,6.94612870509895
-0.2965196046627557,-0.2186274954591349,8.194490807444597,7.723344265262918
-0.2556271826845694,-0.24573097531670154,8.111328256951992,7.15496091608873
-0.2627139630217262,-0.25787618932802525,7.616072547344273,7.761474440050177
-0.2667817306979708,-0.22753898741142184,7.931240360767078,7.359418157745386
-0.2716967904704935,-0.2447024848761104,7.433879378230069,7.872611830747341
-0.22664111875975113,-0.25351462655447876,7.6250842270231844,7.639877102271682
-0.2605924032953216,-0.2554703082075305,7.783213670656281,7.367043254220017
-0.22443717169008628,-0.25543589602782957,8.046637571884384,6.784309925149938
-0.24860127268791898,-0.2718071336062367,8.318201469256545,7.011630023596734
-0.23084430498959194,-0.23930582687020363,6.952456857044726,8.086915824483961
-0.24897561848210428,-0.24571299125917878,6.8797199612580195,8.152833746885717
-0.25959749297055223,-0.25895822972075067,7.43667902026188,8.097818302302066
-0.24538940817275695,-0.23641613123282562,7.456248638486332,7.474162385090649
-0.23042069286169592,-0.2733528181446567,7.847939122750972,7.509303126555318
-0.24836274825749344,-0.2719872086352261,7.881862523018402,7.738658956662592
-0.23501792422795212,-0.25641870106617987,7.32780787724048,7.86655546047037
-0.2549074604403864,-0.2377073028824917,6.840414143117242,8.36684470693106
-0.26030249453603543,-0.2196036914841005,6.9214386181287635,8.021970639582918
-0.2583638358826266,-0.27483050171203505,8.338357558459151,7.478897050084447
-0.2586248595425278,-0.2796517541625507,8.377364508015269,7.599597763524572
-0.25446528947892855,-0.25622861062297075,7.500724528894566,7.824838412237441
-0.25446528947892855,-0.25622861062297075,7.500724528894566,7.824838412237441
-0.26925532804434177,-0.25611957349651204,7.716492643483392,7.954989969616628
-0.2745718437695186,-0.26586759714349617,7.7363765107742095,8.18761955791404
-0.2365886717582305,-0.2631429345512653,7.4069712637905045,7.9945085942809415
-0.2398319504460335,-0.2654448931227171,7.1232488653271835,8.117024098197437
-0.24918971545834107,-0.23881133682965347,7.6503817989173335,7.679457452244912
-0.25974052062656244,-0.24031258019697163,7.606510612689875,7.480616565551133
-0.27190897242161827,-0.22884402632056938,7.486242023583336,7.572822141682164
-0.25210604902861683,-0.24331850146505332,7.464411046513577,7.946923152330723
-0.2362183849360977,-0.24454714105716205,7.446170166666706,7.820083905249269
-0.23409975350187492,-0.2520211597975516,7.347956329088761,7.462419953557651
-0.25569070624785084,-0.25690424301712134,7.8530171689148975,7.544559658566847
-0.24242123515341377,-0.23983637846713365,7.374632985465222,7.400167223713993
-0.25701567009527526,-0.2335393758719398,8.05339683580653,7.225109342817224
-0.2531081849280636,-0.24174605177619013,7.845461297570218,7.070668465165796
-0.2615246297612243,-0.24762547013117445,8.365953217196893,6.893866911662939
-0.2535607203165219,-0.25388906430640595,8.30843413772708,6.780013389838409
-0.2742371752275232,-0.21703987862982688,7.272562967373606,8.022532914408204
-0.26986071395897987,-0.2304782885535498,7.396747115353745,7.850709942789532
-0.2698352377937271,-0.22254926106171533,7.56377239727567,7.580899096006883
-0.21840396408073248,-0.26715825232138296,7.57991529678211,7.696024033703881
-0.21240399007621047,-0.26712743030434544,7.529329720497112,7.746444977467192
-0.27154881827948346,-0.23173379325915966,6.8483991154883945,8.072577356081688
-0.2534171262795938,-0.2348278926937154,6.5382582910536655,8.241846974553255
-0.23414031305560798,-0.2869315220434459,7.536370646399453,7.853709468974362
-0.27789076114390554,-0.22850330025634522,7.327930463400612,7.791330715890743
-0.23342523196126555,-0.2503953520443478,7.800458823762645,7.0649167440860365
-0.24204135084433287,-0.24208114613023657,7.935316269427353,6.954921555934031
-0.2518020766661852,-0.25691937272759274,7.695378407193189,7.629466210344138
-0.2514969280846592,-0.25126405412912295,8.220357292041744,7.48726787049874
-0.26981785268007275,-0.23596860868066166,7.463395774753626,7.755349352643745
-0.27539555664110726,-0.25242846150843884,7.75263208382942,7.957013277680943
-0.2308289862731008,-0.27476947846125266,8.33061445060279,6.866555750282718
-0.22417511635319254,-0.26339197063581454,8.080738248445025,6.9618590351397875
-0.20215619303261015,-0.29739679140745384,8.236251113025347,6.845943167740341
-0.255473221849213,-0.25780217241589287,8.43487538798087,7.2757557345236386
-0.23720993520162775,-0.23507273158733627,8.068016703191919,6.939808961178217
-0.2605016519632124,-0.24031971995299375,8.325521386034888,7.14273304252543
-0.26331505959148976,-0.24450154905554392,8.336526232559555,7.132182398212295
-0.2327509088935089,-0.25048124817341383,7.128041385891059,7.706744060936945
-0.2333682440923037,-0.26276411705236685,7.036181617721693,7.810421919495689
-0.24804113458901525,-0.2380032308945214,7.888364763281319,7.554166687270913
-0.25935828788170334,-0.2393248740053413,7.912837908581796,7.739511193747401
-0.2733514298983186,-0.24068420907914947,7.611912170727243,7.355706793015124
-0.2326792222209463,-0.2511022185031359,7.870646840063602,7.438371912649285
